Variable: Id: .1.3.6.1.4.1.2021.4.1.0; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.12.2.1.17.2; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.12.2.1.18.2; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.12.2.1.19.2; Data: 1000
Variable: Id: .1.3.6.1.4.1.12196.12.3.0; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.12.4.0; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.12.5.0; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.12.6.0; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.12.7.0; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.12.8.1.1.2; Data: 2
Variable: Id: .1.3.6.1.4.1.12196.12.8.1.2.2; Data: 172.29.4.4
Variable: Id: .1.3.6.1.4.1.12196.12.8.1.3.2; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.12.8.1.4.2; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.12.8.1.5.2; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.12.8.1.6.2; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.12.8.1.7.2; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.12.8.1.8.2; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.12.8.1.9.2; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.0.1.0; Data: 1.2.1
Variable: Id: .1.3.6.1.4.1.12196.13.0.2.0; Data: 2
Variable: Id: .1.3.6.1.4.1.12196.13.0.3.0; Data: 262144
Variable: Id: .1.3.6.1.4.1.12196.13.0.4.0; Data: 660
Variable: Id: .1.3.6.1.4.1.12196.13.0.5.0; Data: 120
Variable: Id: .1.3.6.1.4.1.12196.13.0.6.0; Data: 300
Variable: Id: .1.3.6.1.4.1.12196.13.0.7.0; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.0.8.0; Data: 
Variable: Id: .1.3.6.1.4.1.12196.13.0.9.0; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.0.10.0; Data: 7.1-18c
Variable: Id: .1.3.6.1.4.1.12196.13.0.11.0; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.0.12.0; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.1.1; Data: 1
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.1.2; Data: 2
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.2.1; Data: 172.29.4.5
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.2.2; Data: slave of 172.29.4.5
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.3.1; Data: 80
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.3.2; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.4.1; Data: 1
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.4.2; Data: 2
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.5.1; Data: 6
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.5.2; Data: 6
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.6.1; Data: rr
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.6.2; Data: rr
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.7.1; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.7.2; Data: 360
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.8.1; Data: tcp
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.8.2; Data: tcp
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.9.1; Data: 
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.9.2; Data: 
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.10.1; Data: 1
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.10.2; Data: 1
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.11.1; Data: 
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.11.2; Data: 
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.12.1; Data: 
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.12.2; Data: 
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.13.1; Data: Service1
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.13.2; Data: VMM-SubVS1
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.14.1; Data: 2
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.14.2; Data: 1
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.15.1; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.15.2; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.16.1; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.16.2; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.17.1; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.17.2; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.18.1; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.18.2; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.19.1; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.19.2; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.20.1; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.20.2; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.21.1; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.1.1.21.2; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.2.1.1.2; Data: 2
Variable: Id: .1.3.6.1.4.1.12196.13.2.1.2.2; Data: 172.29.4.4
Variable: Id: .1.3.6.1.4.1.12196.13.2.1.3.2; Data: 8100
Variable: Id: .1.3.6.1.4.1.12196.13.2.1.4.2; Data: 1
Variable: Id: .1.3.6.1.4.1.12196.13.2.1.5.2; Data: 2
Variable: Id: .1.3.6.1.4.1.12196.13.2.1.6.2; Data: nat
Variable: Id: .1.3.6.1.4.1.12196.13.2.1.7.2; Data: 1000
Variable: Id: .1.3.6.1.4.1.12196.13.2.1.8.2; Data: 1
Variable: Id: .1.3.6.1.4.1.12196.13.2.1.12.2; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.2.1.13.2; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.2.1.14.2; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.2.1.15.2; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.2.1.16.2; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.2.1.17.2; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.2.1.18.2; Data: 0
Variable: Id: .1.3.6.1.4.1.12196.13.13.0; Data: 7
Variable: Id: .1.3.6.1.4.1.12196.13.14.0; Data: /load
Variable: Id: .1.3.6.1.4.1.12196.13.15.0; Data: 5
Variable: Id: .1.3.6.1.4.1.12196.13.16.0; Data: 0
